idx,x,y,z
0,0.023176312,-1.0491047,2.8873115
1,0.024142012,-1.041479,2.8826017
2,0.024060793,-1.0234573,2.8740976
3,0.3639401,-1.044693,2.8785367
4,0.36177096,-1.0444402,2.8767986
5,0.021877173,-1.0396494,2.8769271
6,0.36192492,-1.0487221,2.8799586
7,0.021389429,-1.0382944,2.8738475
8,0.36370403,-1.0530232,2.8784087
9,0.3632332,-1.052442,2.8823972
10,0.021938082,-1.0530345,2.877175
11,0.35910827,-1.0522633,2.8866966
12,0.35920176,-1.0521624,2.8849893
13,0.35994673,-1.0516851,2.88471
14,1.0998032,-1.0433333,2.871639
15,0.72907543,-1.0315541,2.8802328
16,1.1001674,-1.0392087,2.868743
17,0.73188215,-1.0351791,2.8824127
18,1.0965462,-1.0407612,2.8743317
19,0.72827935,-1.0418655,2.883398
20,1.0928059,-1.0419893,2.8761058
21,0.73090804,-1.0321414,2.8839533
22,0.7318541,-1.0321535,2.8850327
23,1.104114,-1.0415251,2.8707411
24,0.7311226,-1.0375725,2.8881035
25,1.1037375,-1.04651,2.8771818
26,0.73194814,-1.0384189,2.88912
27,1.101576,-1.0493078,2.881826
28,-0.33727387,-1.0364516,2.8929038
29,-0.33749694,-1.0335665,2.8928063
30,0.16232365,-1.0271441,2.8885698
31,-0.33704028,-1.0288287,2.8919914
32,-0.3378314,-1.0312097,2.892441
33,0.16489983,-1.0322497,2.882435
34,-0.33784044,-1.0337411,2.8929312
35,0.1653839,-1.0272838,2.884368
36,-0.33772606,-1.0328655,2.8924909
37,0.16458598,-1.0270768,2.8827047
38,-0.33777595,-1.0297931,2.8890471
39,0.16230726,-1.0270288,2.8832812
40,-0.33856863,-1.0330597,2.8889172
41,-0.33972296,-1.0359998,2.8904681
42,0.4718268,-1.1211699,1.9781293
43,0.4716999,-1.1214435,1.9774983
44,0.4713688,-1.1219496,1.977676
45,0.47233772,-1.1225625,1.9767861
46,0.4736849,-1.1215395,1.9777117
47,0.47298762,-1.1228757,1.9787261
48,0.47053796,-1.1219956,1.9782375
49,0.46945608,-1.123384,1.9778072
50,0.74316674,-1.1246798,2.0136244
51,0.3669652,-1.1882727,2.097309
52,-0.44368592,-1.180019,2.1952796
53,-0.014680179,-1.182025,2.2025125
54,-0.44038096,-1.175662,2.1955671
55,-0.014404633,-1.1794398,2.2040422
56,-0.006108085,-1.1829605,2.1977084
57,-0.4411908,-1.1831789,2.198946
58,-0.012179587,-1.1813651,2.1987371
59,-0.44096476,-1.1802926,2.1969428
60,-0.01858723,-1.1851352,2.2046301
61,0.3975826,-1.1399661,2.007908
62,0.39357713,-1.1334026,2.0088832
63,0.39378664,-1.1343569,2.0104482
64,0.3953974,-1.1364267,2.013793
65,0.396299,-1.1400633,2.014201
66,0.39639023,-1.1405838,2.015312
67,0.3956938,-1.1420945,2.0178401
68,0.39628786,-1.1436541,2.0205555
69,0.3967507,-1.1453266,2.021091
70,0.3971151,-1.1450931,2.023116
71,0.39826667,-1.1478174,2.0228562
72,0.74878526,-1.1474628,2.0264058
73,0.43048033,-1.1959578,2.105473
74,0.4280854,-1.1917768,2.0998328
75,0.4326471,-1.193619,2.1011014
76,0.43631992,-1.1968538,2.1018677
77,0.745542,-1.1314477,2.0159073
78,0.433402,-1.1967864,2.0990798
79,0.7472761,-1.1354146,2.0189347
80,0.42615148,-1.1950287,2.0997722
81,0.7503211,-1.1365151,2.021072
82,0.7479776,-1.1361483,2.0210788
83,0.28574228,-1.1442444,2.0238018
84,0.2871512,-1.1457262,2.0250163
85,0.2876771,-1.1482869,2.0253415
86,0.28765586,-1.148971,2.0234966
87,0.28421366,-1.1481318,2.0199153
88,0.28694826,-1.151545,2.0198216
89,0.2873338,-1.1504753,2.019894
90,-0.2744452,-1.146615,2.0382218
91,-0.27527326,-1.1544547,2.0378506
92,-0.27815062,-1.2001978,2.1031673
93,-0.27649066,-1.1472597,2.0300467
94,-0.2762126,-1.1506037,2.0347562
